Run,Assay Type,AvgSpotLen,Bases,Biomaterial_provider,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolate,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_type,SRA Study,strain,subject_id
SRR6000920,WGS,300,19608627392,Thomas F. Gajewski,PRJNA399742,SAMN07599755,"Microbe\, viral or environmental",8350671385,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156386,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_36,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_36,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P36
SRR6000921,WGS,301,9755757015,Thomas F. Gajewski,PRJNA399742,SAMN07599757,"Microbe\, viral or environmental",3875598861,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156396,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_38,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_38,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P38
SRR6000922,AMPLICON,302,8631160,Thomas F. Gajewski,PRJNA399742,SAMN07599738,"Microbe\, viral or environmental",5854076,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156378,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_19,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_19,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P19
SRR6000923,AMPLICON,302,4648686,Thomas F. Gajewski,PRJNA399742,SAMN07599737,"Microbe\, viral or environmental",3137652,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156377,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_18,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_18,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P18
SRR6000924,AMPLICON,302,8552640,Thomas F. Gajewski,PRJNA399742,SAMN07599736,"Microbe\, viral or environmental",5741336,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156376,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_17,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_17,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P17
SRR6000925,AMPLICON,302,9083556,Thomas F. Gajewski,PRJNA399742,SAMN07599735,"Microbe\, viral or environmental",6198517,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156375,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_16,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_16,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P16
SRR6000926,AMPLICON,302,7463024,Thomas F. Gajewski,PRJNA399742,SAMN07599734,"Microbe\, viral or environmental",4974388,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156374,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_15,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_15,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P15
SRR6000927,AMPLICON,302,5431772,Thomas F. Gajewski,PRJNA399742,SAMN07599733,"Microbe\, viral or environmental",3563539,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156373,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_14,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_14,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P14
SRR6000928,AMPLICON,302,8051622,Thomas F. Gajewski,PRJNA399742,SAMN07599732,"Microbe\, viral or environmental",5443182,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156372,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_13,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_13,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P13
SRR6000929,AMPLICON,302,7132938,Thomas F. Gajewski,PRJNA399742,SAMN07599731,"Microbe\, viral or environmental",4764435,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156371,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_12,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_12,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P12
SRR6000930,AMPLICON,302,7839618,Thomas F. Gajewski,PRJNA399742,SAMN07599730,"Microbe\, viral or environmental",5222117,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156370,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_11,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_11,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P11
SRR6000931,WGS,300,15446515537,Thomas F. Gajewski,PRJNA399742,SAMN07599747,"Microbe\, viral or environmental",6698683124,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156369,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_28,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_28,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P28
SRR6000932,WGS,301,6196645358,Thomas F. Gajewski,PRJNA399742,SAMN07599758,"Microbe\, viral or environmental",2642462565,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156368,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_39,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_39,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P39
SRR6000933,AMPLICON,302,6669368,Thomas F. Gajewski,PRJNA399742,SAMN07599728,"Microbe\, viral or environmental",4628743,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156366,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_09,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_09,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P09
SRR6000934,AMPLICON,302,8274196,Thomas F. Gajewski,PRJNA399742,SAMN07599725,"Microbe\, viral or environmental",5547044,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156364,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_06,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_06,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P06
SRR6000935,AMPLICON,302,4234040,Thomas F. Gajewski,PRJNA399742,SAMN07599724,"Microbe\, viral or environmental",2879274,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156363,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_05,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_05,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P05
SRR6000936,AMPLICON,302,5874202,Thomas F. Gajewski,PRJNA399742,SAMN07599726,"Microbe\, viral or environmental",3927478,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156361,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_07,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_07,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P07
SRR6000937,AMPLICON,302,7026936,Thomas F. Gajewski,PRJNA399742,SAMN07599721,"Microbe\, viral or environmental",4713733,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156360,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_02,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_02,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P02
SRR6000938,AMPLICON,302,8430632,Thomas F. Gajewski,PRJNA399742,SAMN07599720,"Microbe\, viral or environmental",5719356,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156359,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_01,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_01,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P01
SRR6000939,AMPLICON,302,6695642,Thomas F. Gajewski,PRJNA399742,SAMN07599727,"Microbe\, viral or environmental",4487121,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156432,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_08,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_08,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P08
SRR6000940,WGS,300,11700675918,Thomas F. Gajewski,PRJNA399742,SAMN07599730,"Microbe\, viral or environmental",5045347592,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156358,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_11,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_11,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P11
SRR6000941,AMPLICON,302,7158306,Thomas F. Gajewski,PRJNA399742,SAMN07599723,"Microbe\, viral or environmental",4858525,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156357,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_04,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_04,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P04
SRR6000942,WGS,301,6357118127,Thomas F. Gajewski,PRJNA399742,SAMN07599744,"Microbe\, viral or environmental",2701329874,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156365,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_25,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_25,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P25
SRR6000943,WGS,299,13413558306,Thomas F. Gajewski,PRJNA399742,SAMN07599732,"Microbe\, viral or environmental",5777438094,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156367,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_13,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_13,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P13
SRR6000944,WGS,300,22252458983,Thomas F. Gajewski,PRJNA399742,SAMN07599729,"Microbe\, viral or environmental",8834558798,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156355,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_10,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_10,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P10
SRR6000945,WGS,300,7282716721,Thomas F. Gajewski,PRJNA399742,SAMN07599731,"Microbe\, viral or environmental",3072327765,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156362,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_12,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_12,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P12
SRR6000946,WGS,301,6946521728,Thomas F. Gajewski,PRJNA399742,SAMN07599735,"Microbe\, viral or environmental",2788221712,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156354,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_16,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_16,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P16
SRR6000947,WGS,301,14095757358,Thomas F. Gajewski,PRJNA399742,SAMN07599738,"Microbe\, viral or environmental",5985883272,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156353,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_19,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_19,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P19
SRR6000948,AMPLICON,302,6749096,Thomas F. Gajewski,PRJNA399742,SAMN07599722,"Microbe\, viral or environmental",4543323,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156356,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_03,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_03,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P03
SRR6000949,WGS,299,19917956579,Thomas F. Gajewski,PRJNA399742,SAMN07599736,"Microbe\, viral or environmental",8565185048,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156352,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_17,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_17,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P17
SRR6159088,AMPLICON,302,25106770,Thomas F. Gajewski,PRJNA399742,SAMN07774980,"Microbe\, viral or environmental",15302029,UNIVERSITY OF CHICAGO,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3270811,USA,North America,USA,Mus musculus,Illumina MiSeq,not applicable,feces,SAM16S_mouse_M90,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2017-10-11T00:00:00Z,SAM_mouse_F,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P11_mouse
SRR6159089,AMPLICON,302,32750994,Thomas F. Gajewski,PRJNA399742,SAMN07774980,"Microbe\, viral or environmental",19909173,UNIVERSITY OF CHICAGO,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3270810,USA,North America,USA,Mus musculus,Illumina MiSeq,not applicable,feces,SAM16S_mouse_M89,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2017-10-11T00:00:00Z,SAM_mouse_F,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P11_mouse
SRR6159090,AMPLICON,302,13272598,Thomas F. Gajewski,PRJNA399742,SAMN07774980,"Microbe\, viral or environmental",7792339,UNIVERSITY OF CHICAGO,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3270809,USA,North America,USA,Mus musculus,Illumina MiSeq,not applicable,feces,SAM16S_mouse_M88,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2017-10-11T00:00:00Z,SAM_mouse_F,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P11_mouse
SRR6159091,AMPLICON,302,37906134,Thomas F. Gajewski,PRJNA399742,SAMN07774980,"Microbe\, viral or environmental",23479988,UNIVERSITY OF CHICAGO,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3270808,USA,North America,USA,Mus musculus,Illumina MiSeq,not applicable,feces,SAM16S_mouse_M87,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2017-10-11T00:00:00Z,SAM_mouse_F,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P11_mouse
SRR6159092,AMPLICON,302,26004314,Thomas F. Gajewski,PRJNA399742,SAMN07774980,"Microbe\, viral or environmental",15690007,UNIVERSITY OF CHICAGO,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3270807,USA,North America,USA,Mus musculus,Illumina MiSeq,not applicable,feces,SAM16S_mouse_M96,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2017-10-11T00:00:00Z,SAM_mouse_F,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P11_mouse
SRR6159093,AMPLICON,302,18979794,Thomas F. Gajewski,PRJNA399742,SAMN07774980,"Microbe\, viral or environmental",11437059,UNIVERSITY OF CHICAGO,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3270806,USA,North America,USA,Mus musculus,Illumina MiSeq,not applicable,feces,SAM16S_mouse_M95,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2017-10-11T00:00:00Z,SAM_mouse_F,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P11_mouse
SRR6159094,AMPLICON,302,27497704,Thomas F. Gajewski,PRJNA399742,SAMN07774980,"Microbe\, viral or environmental",16614955,UNIVERSITY OF CHICAGO,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3270805,USA,North America,USA,Mus musculus,Illumina MiSeq,not applicable,feces,SAM16S_mouse_M97,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2017-10-11T00:00:00Z,SAM_mouse_F,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P11_mouse
SRR6159095,AMPLICON,302,18260430,Thomas F. Gajewski,PRJNA399742,SAMN07774975,"Microbe\, viral or environmental",10502442,UNIVERSITY OF CHICAGO,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3270804,USA,North America,USA,Mus musculus,Illumina MiSeq,not applicable,feces,SAM16S_mouse_M19,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2017-10-11T00:00:00Z,SAM_mouse_A,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P28_mouse
SRR6159096,AMPLICON,302,16845258,Thomas F. Gajewski,PRJNA399742,SAMN07774976,"Microbe\, viral or environmental",9357654,UNIVERSITY OF CHICAGO,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3270803,USA,North America,USA,Mus musculus,Illumina MiSeq,not applicable,feces,SAM16S_mouse_M20,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2017-10-11T00:00:00Z,SAM_mouse_B,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P06_mouse
SRR6159097,AMPLICON,302,18997612,Thomas F. Gajewski,PRJNA399742,SAMN07774975,"Microbe\, viral or environmental",10931254,UNIVERSITY OF CHICAGO,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3270802,USA,North America,USA,Mus musculus,Illumina MiSeq,not applicable,feces,SAM16S_mouse_M11,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2017-10-11T00:00:00Z,SAM_mouse_A,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P28_mouse
SRR6159098,AMPLICON,302,24553808,Thomas F. Gajewski,PRJNA399742,SAMN07774975,"Microbe\, viral or environmental",13984063,UNIVERSITY OF CHICAGO,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3270801,USA,North America,USA,Mus musculus,Illumina MiSeq,not applicable,feces,SAM16S_mouse_M12,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2017-10-11T00:00:00Z,SAM_mouse_A,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P28_mouse
SRR6159099,AMPLICON,302,9301298,Thomas F. Gajewski,PRJNA399742,SAMN07774975,"Microbe\, viral or environmental",5134595,UNIVERSITY OF CHICAGO,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3270800,USA,North America,USA,Mus musculus,Illumina MiSeq,not applicable,feces,SAM16S_mouse_M13,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2017-10-11T00:00:00Z,SAM_mouse_A,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P28_mouse
SRR6159100,AMPLICON,302,18704672,Thomas F. Gajewski,PRJNA399742,SAMN07774975,"Microbe\, viral or environmental",10808217,UNIVERSITY OF CHICAGO,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3270799,USA,North America,USA,Mus musculus,Illumina MiSeq,not applicable,feces,SAM16S_mouse_M14,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2017-10-11T00:00:00Z,SAM_mouse_A,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P28_mouse
SRR6159101,AMPLICON,302,22397528,Thomas F. Gajewski,PRJNA399742,SAMN07774975,"Microbe\, viral or environmental",12747493,UNIVERSITY OF CHICAGO,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3270798,USA,North America,USA,Mus musculus,Illumina MiSeq,not applicable,feces,SAM16S_mouse_M15,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2017-10-11T00:00:00Z,SAM_mouse_A,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P28_mouse
SRR6159102,AMPLICON,302,12956404,Thomas F. Gajewski,PRJNA399742,SAMN07774975,"Microbe\, viral or environmental",7384140,UNIVERSITY OF CHICAGO,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3270797,USA,North America,USA,Mus musculus,Illumina MiSeq,not applicable,feces,SAM16S_mouse_M16,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2017-10-11T00:00:00Z,SAM_mouse_A,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P28_mouse
SRR6159103,AMPLICON,302,8249432,Thomas F. Gajewski,PRJNA399742,SAMN07774975,"Microbe\, viral or environmental",4664905,UNIVERSITY OF CHICAGO,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3270796,USA,North America,USA,Mus musculus,Illumina MiSeq,not applicable,feces,SAM16S_mouse_M17,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2017-10-11T00:00:00Z,SAM_mouse_A,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P28_mouse
SRR6159104,AMPLICON,302,15792486,Thomas F. Gajewski,PRJNA399742,SAMN07774975,"Microbe\, viral or environmental",9102281,UNIVERSITY OF CHICAGO,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3270795,USA,North America,USA,Mus musculus,Illumina MiSeq,not applicable,feces,SAM16S_mouse_M18,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2017-10-11T00:00:00Z,SAM_mouse_A,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P28_mouse
SRR6159105,AMPLICON,302,20790586,Thomas F. Gajewski,PRJNA399742,SAMN07774976,"Microbe\, viral or environmental",11698523,UNIVERSITY OF CHICAGO,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3270794,USA,North America,USA,Mus musculus,Illumina MiSeq,not applicable,feces,SAM16S_mouse_M26,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2017-10-11T00:00:00Z,SAM_mouse_B,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P06_mouse
SRR6159106,AMPLICON,302,20405234,Thomas F. Gajewski,PRJNA399742,SAMN07774976,"Microbe\, viral or environmental",11330726,UNIVERSITY OF CHICAGO,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3270793,USA,North America,USA,Mus musculus,Illumina MiSeq,not applicable,feces,SAM16S_mouse_M25,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2017-10-11T00:00:00Z,SAM_mouse_B,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P06_mouse
SRR6159107,AMPLICON,302,11010316,Thomas F. Gajewski,PRJNA399742,SAMN07774976,"Microbe\, viral or environmental",5966185,UNIVERSITY OF CHICAGO,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3270792,USA,North America,USA,Mus musculus,Illumina MiSeq,not applicable,feces,SAM16S_mouse_M28,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2017-10-11T00:00:00Z,SAM_mouse_B,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P06_mouse
SRR6159108,AMPLICON,302,20516370,Thomas F. Gajewski,PRJNA399742,SAMN07774976,"Microbe\, viral or environmental",11651075,UNIVERSITY OF CHICAGO,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3270791,USA,North America,USA,Mus musculus,Illumina MiSeq,not applicable,feces,SAM16S_mouse_M27,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2017-10-11T00:00:00Z,SAM_mouse_B,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P06_mouse
